S.no,Instagram_name,Name,Subscribers,Audience_country,Authentic_engagement,Engagement_average,Category_1,Category_2,Engagement_Rate,Subscribers_Scaled,Authentic_Engagement_Scaled,Category_Weight,Influencer_Score
16,justinbieber,Justin Bieber,256300000.0,Brazil,1300000.0,1800000.0,0,0,0.00702301989855638,0.4670460804112356,0.10236220472440945,0.5,0.2133954730276751
135,phs1116,박형식 / PARKHYUNGSIK,10500000.0,Indonesia,2200000.0,2700000.0,Business & Careers,0,0.2571428571428571,0.01578850743528548,0.1732283464566929,0.7,0.2122393643790671
141,nike,Nike,235700000.0,United States,89700.0,116200.0,Fitness & Gym,Shopping & Retail,0.0004929995757318625,0.4292270974848541,0.007062992125984251,0.8,0.2103779275009458
200,momo,모모 (MOMO),8000000.0,Turkey,1500000.0,2200000.0,Lifestyle,0,0.275,0.01119882504130714,0.11811023622047244,0.7,0.20698169475648664
617,everyone_woo,Wonwoo,3400000.0,Indonesia,935500.0,1200000.0,0,0,0.35294117647058826,0.002753809436387002,0.07366141732283464,0.5,0.20673489688371832
229,m.by__sana,사나 (SANA),7500000.0,Yemen,1700000.0,2000000.0,Lifestyle,0,0.26666666666666666,0.010280888562511475,0.13385826771653542,0.7,0.2065225867787272
269,_zyozyo,JIHYO,6700000.0,Indonesia,1400000.0,1800000.0,Lifestyle,0,0.26865671641791045,0.008812190196438406,0.11023622047244094,0.7,0.2021535877205839
22,karolg,KAROL G,56200000.0,Mexico,5000000.0,6100000.0,0,0,0.10854092526690391,0.09968790159720949,0.39370078740157477,0.5,0.2020628980662394
931,_chaechae_1,김채원 (CHAEWON),2800000.0,South Korea,696800.0,838200.0,Lifestyle,0,0.2993571428571429,0.0016522856618322013,0.05486614173228346,0.7,0.2012117711878635
15,lalalalisa_m,LISA,81700000.0,Indonesia,5000000.0,5800000.0,0,0,0.07099143206854346,0.14650266201578852,0.39370078740157477,0.5,0.2010875289124689
